Kind of the function: Polynomial
f(7.0) = 62.0
Equally spaced nodes
5,120.0
10,120.0
15,120.00000000000003
20,119.99999999999991
25,120.0
30,120.00000000000018

Chebyshev nodes
5,341.64102265187506
10,355.3367271218824
15,357.92132120297947
20,358.82953710171984
25,359.25054618281285
30,359.4794110242369


Kind of the function: Rational
f(7.0) = 0.09803921568627451
Equally spaced nodes
5,2.450980392156863
10,1.7302672606857454
15,2.450980392156862
20,2.3630933550147915
25,2.4509803921568634
30,2.4404488450942146

Chebyshev nodes
5,2.711017925746765
10,2.5810600203385627
15,2.4748808304945142
20,2.48650133838361
25,2.4879052730083737
30,2.487536974061683


Kind of the function: Modulus
f(7.0) = 7.0
Equally spaced nodes
5,10.0
10,9.2523193359375
15,10.0
20,9.656006635632362
25,10.0
30,9.776658988265297

Chebyshev nodes
5,19.510565162951536
10,19.876883405951375
15,19.945218953682733
20,19.969173337331277
25,19.980267284282718
30,19.986295347545738


Kind of the function: Trigonometric
f(7.0) = 0.6569865987187891
Equally spaced nodes
5,0.5440211108893698
10,0.5440211108893698
15,0.5440211108893713
20,0.5440211108893667
25,0.5440211108893698
30,0.544021110889377

Chebyshev nodes
5,0.23372127856751324
10,0.6371489995899031
15,0.8801269837388692
20,0.8999318551463545
25,0.9047154846488551
30,0.9072670707572149


